CAT;CLASSIF;DESCRICAO;DESCRABREV;REFER;EXCLUIDOS
A00;;Cholera;A00 Leash;;
A01;;Typhoid fever and paratyphoid;A01 typhoid and paratyphoid fevers;;
A02;;Other salmonella infections;A02 infection due othe w / Salmonella;;
A03;;shigellosis;A03 Shigellosis;;
A04;;Other bacterial intestinal infections;A04 othe intestinal infection due bacter;;
A05;;Other bacterial food poisoning, not elsewhere classified;A05 othe intox bacter NCOP food;;
A06;;amebiasis;A06 amebiasis;;
A07;;Other protozoal intestinal diseases;A07 othe intestinal Thyroid Disease w / protozoa;;
A08;;viral intestinal infections, other and unspecified;A08 viral intestinal infection due othe and NE;;
A09;;Diarrhea and gastroenteritis of presumed infectious origin;A09 Diarrhea and gastroenteritis infection due orig presum;;
A15;;respiratory tuberculosis, bacteriologically and histologically confirmed;A15 Respiratory Tuberc w / conf Bacteriol and histolog;;
A16;;Tuberculosis of the respiratory tract, without bacteriological or histological confirmation;Respiratory tract A16 Tuberc s / conf histologic bacter;;
A17;+;the nervous system tuberculosis;A17 Tuberc nervous syst;;
A18;;Tuberculosis of other organs;A18 Tuberc of othe organs;;
A19;;miliary tuberculosis;A19 Tuberc miliary;;
A20;;plague;A20 Plague;;
A21;;tularemia;A21 Tularemia;;
A22;;carbuncle;A22 anthrax;;
A23;;brucellosis;A23 Brucellosis;;
A24;;Glanders and melioidosis;A24 Glanders and melioidosis;;
A25;;Fevers transmitted by biting rat;A25 fevers transm w / rat bite;;
A26;;Erysipeloid;A26 Erysipeloid;;
A27;;leptospirosis;A27 Leptospirosis;;
A28;;Other zoonotic bacterial diseases, not elsewhere classified;A28 othe Thyroid Disease bacter zoonotic NEC;;
A30;;Leprosy [Hansen's disease] [leprosy];A30 Leprosy;;
A31;;Infections due to other mycobacteria;A31 infection due dev othe mycobacteria;;
A32;;Listeriosis [listeríase];A32 Listeriosis;;
A33;;Tetanus of the newborn [neonatal];A33 Tetanus of the newborn;;
A34;;tetanus obstetrical;A34 Tetanus obstetrical;;
A35;;Other types of tetanus;A35 othe types of tetanus;;
A36;;Diphtheria;A36 Diphtheria;;
A37;;whooping cough;A37 Whooping Cough;;
A38;;Scarlet fever;A38 Scarlet fever;;
A39;;meningococcal infection;A39 meningococcal infection due;;
A40;;streptococcal septicemia;A40 Septicemia streptococcal;;
A41;;other septicemia;A41 othe septicemia;;
A42;;actinomycosis;A42 Actinomycosis;;
A43;;nocardiosis;A43 nocardiosis;;
A44;;bartonellosis;A44 Bartonellosis;;
A46;;Erysipelas;A46 Erysipelas;;
A48;;Other bacterial diseases, not elsewhere classified;A48 othe Thyroid Disease bacter NCOP;;
A49;;Bacterial infection of unspecified site;A49 bacter infection due to localiz NE;;
A50;;Congenital syphilis;A50 Syphilis congen;;
A51;;early syphilis;A51 Early syphilis;;
A52;;late syphilis;A52 Syphilis tard;;
A53;;Other forms and unspecified syphilis;A53 othe form and NE of syphilis;;
A54;;gonococcal infection;A54 gonococcal infection due;;
A55;;Lymphogranuloma (venereal) Chlamydia;A55 Lymphogranuloma w / chlamydia;;
A56;;Other infections caused by Chlamydia sexually transmitted;A56 infection due othe w / w Chlamydia transm / sexually;;
A57;;chancroid;A57 mol Cancer;;
A58;;granuloma inguinal;A58 Granuloma inguinal;;
A59;;trichomoniasis;A59 Trichomoniasis;;
A60;;anogenital herpes virus infections [herpes simplex];A60 anogenital infection due w / herpes virus;;
A63;;Other predominantly sexually transmitted diseases, not elsewhere classified;A63 othe Thyroid Disease transm sexual Mostly NEC;;
A64;;sexually transmitted diseases, unspecified;A64 Thyroid Disease sexually transm NE;;
A65;;Non-venereal syphilis;Syphilis Non-A65 Venerea;;
A66;;Bouba;A66 Bouba;;
A67;;Pt [Karate];A67 Pinta;;
A68;;recurrent fevers [borreliosis];A68 recurrent fevers;;
A69;;Other infections by spirochetes;A69 infection due othe w / spirochetes;;
A70;;Infections caused by Chlamydia psittaci;A70 caused infection due p / Chlamydia psittaci;;
A71;;Trachoma;A71 Trachoma;;
A74;;Other diseases caused by Chlamydia;A74 othe Thyroid Disease caused p / Chlamydia;;
A75;;typhus;A75 typhus;;
A77;;spotted fever [tick-borne rickettsial infections];A77 Fever spotted;;
A78;;Q Fever;A78 Q fever;;
A79;;other rickettsial infections;A79 othe Rickettsiosis;;
A80;;poliomyelitis;A80 poliomyelitis;;
A81;;Infections of the central nervous system atypical virus;A81 infection due p / virus atypical central nervous syst;;
A82;;Rage;A82 Anger;;
A83;;Encephalitis virus transmitted by mosquitoes;A83 Encephalitis w / w transm virus / mosquitos;;
A84;;Encephalitis virus transmitted by ticks;A84 Encephalitis w / transm virus w / ticks;;
A85;;Other viral encephalitis, not elsewhere classified;A85 viral encephalitis NEC othe;;
A86;;viral encephalitis, unspecified;A86 viral encephalitis NE;;
A87;;viral meningitis;A87 Viral meningitis;;
A88;;Other viral infections of the central nervous system does not elsewhere classified;A88 viral infection due othe central nervous syst NEC;;
A89;;Viral infections unspecified central nervous system;A89 viral infection due NE central nervous syst;;
A90;;Dengue [classical dengue];A90 Dengue;;
A91;;hemorrhagic fever due to dengue virus;A91 dev dengue hemorrhagic fever virus;;
A92;;Other viral fever transmitted by mosquitoes;A92 othe viral fevers transm w / mosquitos;;
A93;;Other fevers virus transmitted by arthropods not elsewhere classified;A93 othe fevers w / w transm virus / NEC arthropods;;
A94;;viral disease transmitted by arthropods, unspecified;A94 Fever virus transm w / NE arthropods;;
A95;;Yellow fever;A95 Yellow fever;;
A96;;hemorrhagic fever arenavirus;A96 hemorrhagic fever w / arenavirus;;
A98;;Other viral haemorrhagic fevers, not elsewhere classified;A98 othe hemorrhagic fever w / NEC virus;;
A99;;Viral hemorrhagic fevers Unspecified;A99 viral hemorrhagic fevers NE;;
