CATINIC;CATFIM;DESCRICAO;DESCRABREV
A00;A09;intestinal infectious diseases;intestinal infectious diseases
A15;A19;Tuberculosis;Tuberculosis
A20;A28;Certain zoonotic bacterial diseases;Certain zoonotic bacterial diseases
A30;A49;Other bacterial diseases;Other bacterial diseases
A50;A64;predominantly sexually transmitted infections;predominantly sexually transmitted infections
A65;A69;Other diseases by spirochetes;Other diseases by spirochetes
A70;A74;Other diseases caused by chlamydiae;Other diseases caused by chlamydiae
A75;A79;rickettsiosis;rickettsiosis
A80;A89;Viral infections of the central nervous system;Viral infections of the central nervous system
A90;A99;Arbovirus fever and viral hemorrhagic fevers;Arbovirus fever and viral hemorrhagic fevers
B00;B09;Viral infections characterized by skin and mucous membrane lesions;Characteristic viral infections p / skin and mucous membrane lesions
B15;B19;viral hepatitis;viral hepatitis
B20;B24;Disease by the human immunodeficiency virus [HIV];Disease by the human immunodeficiency virus [HIV]
B25;B34;Other viral diseases;Other viral diseases
B35;B49;mycoses;mycoses
B50;B64;protozoal diseases caused;protozoal diseases caused
B65;B83;helminths;helminths
B85;B89;Lice, mites and other infestations;Lice, mites and other infestations
B90;B94;Sequelae of infectious and parasitic diseases;Sequelae of infectious and parasitic diseases
B95;B97;Agents of bacterial, viral and other infectious agents;Infection bacter agents, viral infection due agents and othe
B99;B99;Other infectious diseases;Other infectious diseases
C00;C97;Neoplasms [tumors] Malignant (os);malignancies
C00;C75;Neoplasms [tumors] Malignant (OS), stated or presumed to be primary, specified locations except of lymphoid, haematopoietic and related tissues;malignant neoplasms of specified locations
C00;C14;Malignant neoplasms of the lip, oral cavity and pharynx;Malig neoplasms of the lip, oral cavity and pharynx
C15;C26;Malignant neoplasms of the digestive organs;Malignant neoplasms of the digestive organs
C30;C39;Malignant neoplasms of respiratory and intrathoracic organs;Neopl Malig Respiratory apparatus and organs intratorác
C40;C41;Malignant neoplasms of bone and articular cartilage;Neopl Malig of bone and articular cartilage
C43;C44;Melanoma and other (the) skin malignancies;Melanoma and other (the) skin malignancies
C45;C49;Malignant neoplasms of mesothelial and soft tissue;Neopl Malig of mesothelial and soft tissue
C50;C50;malignant breast neoplasms;malignant breast neoplasms
C51;C58;Malignant neoplasms of female genital organs;Malignant neoplasms of female genital organs
C60;C63;Malignant neoplasms of male genital organs;Malignant neoplasms of male genital organs
C64;C68;Malignant neoplasms of urinary tract;Malignant neoplasms of urinary tract
C69;C72;Malignant neoplasms of eye, brain and other parts of central nervous system;Neopl Malig eyes Encephalopathies othe part nerv syst centr
C73;C75;Malignant neoplasms of thyroid and other endocrine glands;Neopl Malig thyroid and other endocrine glands
C76;C80;Malignant neoplasms of ill-defined, secondary and unspecified sites;Neopl Malig evil def local secondary and local No specific
C81;C96;Neoplasms [tumors] Malignant (OS), stated or presumed to be primary, of lymphoid, haematopoietic and related tissues;Neopl Malig linfát hematopoét and related tissue
C97;C97;Malignant neoplasms of independent multiple locations (primary);Neopl Malig multiple independent location (prim)
D00;D09;Neoplasms [tumors] in situ;Neoplasms [tumors] in situ
D10;D36;Neoplasms [tumors] benign (os);Neoplasms [tumors] benign (os)
D37;D48;Neoplasms [tumors] uncertain or unknown behavior;Neopl of uncertain or unknown behavior
D50;D53;nutritional anemias;nutritional anemias
D55;D59;hemolytic anemias;hemolytic anemias
D60;D64;aplastic anemia and other anemias;aplastic anemia and other anemias
D65;D69;Coagulation defects, purpura and other hemorrhagic disorders;Defects coagulation, purpura, othe AFECC hemorrág
D70;D77;Other diseases of blood and blood-forming organs;Other diseases of blood and blood-forming organs
D80;D89;Certain disorders involving the immune mechanism;Some transt q involving the immune mechanism
E00;E07;thyroid gland disorders;thyroid gland disorders
E10;E14;diabetes mellitus;diabetes mellitus
E15;E16;Other disorders of glucose regulation and pancreatic internal secretion;Othe transt regulating glucose and Ans Pancreatic int
E20;E35;Disorders of other endocrine glands;Disorders of other endocrine glands
E40;E46;malnutrition;malnutrition
