SUBCAT;CLASSIF;RESTRSEXO;CAUSAOBITO;DESCRICAO;DESCRABREV;REFER;EXCLUIDOS
A000;;;;Cholera due to Vibrio cholerae 01, biotype cholerae;Dev A00.0 Cholera Vibrio cholerae 01 biot cholerae;;
A001;;;;Cholera due to Vibrio cholerae 01, biotype El Tor;Dev A00.1 Cholera Vibrio cholerae El Tor 01 biot;;
A009;;;;Cholera unspecified;A00.9 Cholera NE;;
A010;;;;Typhoid fever;A01.0 Typhoid Fever;;
A011;;;;paratyphoid Fever;The paratyphoid fever A01.1;;
A012;;;;paratyphoid fever B;Paratyphoid fever B A01.2;;
A013;;;;paratyphoid fever C;Paratyphoid fever A01.3 C;;
A014;;;;Paratyphoid fever unspecified;Paratyphoid fever A01.4 NE;;
A020;;;;Enteritis salmonella;A02.0 enteritis w / salmonella;;
A021;;;;Septicemia by salmonella;A02.1 Septicemia w / salmonella;;
A022;;;;Localized infections salmonella;A02.2 infection due localized p / salmonella;;
A028;;;;Other specified salmonella infections;A02.8 specific infection due othe w / salmonella;;
A029;;;;Salmonella infection, unspecified;A02.9 infection due NE w / salmonella;;
A030;;;;Shigellosis due to Shigella dysenteriae;A03.0 Shigellosis dev Shigella dysenteriae;;
A031;;;;Shigellosis due to Shigella flexneri;A03.1 Shigellosis dev Shigella flexneri;;
A032;;;;Shigellosis due to Shigella boydii;A03.2 Shigellosis dev Shigella boydii;;
A033;;;;Shigellosis due to Shigella sonnei;A03.3 Shigellosis dev Shigella sonnei;;
A038;;;;other shigueloses;A03.8 othe shigueloses;;
A039;;;;Shigellosis unspecified;A03.9 Shigellosis NE;;
A040;;;;Infection with enteropathogenic Escherichia coli;A04.0 infection due w / enteropathogenic Escherichia coli;;
A041;;;;Infection with enterotoxigenic Escherichia coli;A04.1 infection due w / enterotoxigenic Escherichia coli;;
A042;;;;Enteroinvasive Escherichia coli infection;A04.2 infection due w / enteroinvasive Escherichia coli;;
A043;;;;Infection by enterohemorrhagic Escherichia coli;A04.3 infection due w / enterohaemorrhagic Escherichia coli;;
A044;;;;Other intestinal infections with Escherichia coli;A04.4 intestinal infection due othe w / Escherichia coli;;
A045;;;;Campylobacter enteritis;A04.5 enteritis w / Campylobacter;;
A046;;;;Enteritis due to Yersinia enterocolitica;Enteritis A04.6 dev Yersinia enterocolitica;;
A047;;;;Enterocolitis due to Clostridium difficile;Enterocolitis Clostridium difficile A04.7 dev;;
A048;;;;Other specified intestinal bacterial infections;A04.8 othe specific intestinal infection due bacter;;
A049;;;;bacterial intestinal infection, unspecified;A04.9 intestinal infection due bacter NE;;
A050;;;;Staphylococcal food poisoning;A05.0 Staphylococcal food Intox;;
A051;;;;Botulism;A05.1 Botulism;;
A052;;;;Food poisoning due to Clostridium perfringens [Clostridium welchii];A05.2 Intox food dev Clostridium perfringens;;
A053;;;;due to food poisoning Vibrio parahaemolyticus;A05.3 Intox food dev Vibrio parahaemolyticus;;
A054;;;;Food poisoning due to Bacillus cereus;A05.4 Intox food dev Bacillus cereus;;
A058;;;;Other specified bacterial food poisoning;A05.8 othe intox specific food bacter;;
A059;;;;bacterial food poisoning unspecified;A05.9 Intox food bacter NE;;
A060;;;;acute amebic dysentery;Acute amebic dysentery A06.0;;
A061;;;;chronic intestinal amebiasis;A06.1 intestinal amebiasis chronic;;
A062;;;;Non-dysenteric amoebic colitis;A06.2 non-dysenteric amoebic colitis;;
A063;;;;amoeboma intestinal;A06.3 intestinal amoeboma;;
A064;;;;Amebic abscess of the liver;A06.4 abscess amebic liver;;
A065;+;;;Amoebic abscess lung;Amoebic A06.5 Abscess of lung;J99.8 *;
A066;+;;;Brain abscess amebic;Amoebic A06.6 Abscess of the brain;G07 *;
A067;;;;cutaneous amoebiasis;A06.7 cutaneous amoebiasis;;
A068;;;;amoebic infection of other sites;A06.8 amoebic infection due to othe localiz;;
A069;;;;Amebiasis unspecified;Amoebiasis A06.9 NE;;
A070;;;;balantidiasis;A07.0 balantidiasis;;
A071;;;;Giardiasis [lamblíase];A07.1 giardiasis;;
A072;;;;cryptosporidiosis;A07.2 Cryptosporidiosis;;
A073;;;;isosporiasis;A07.3 isosporiasis;;
A078;;;;Other intestinal diseases specified by protozoa;A07.8 othe specific intestinal Thyroid Disease w / protozoa;;
A079;;;;intestinal protozoan disease, unspecified;Thyroid Disease A07.9 intestinal NE w / protozoa;;
A080;;;;Enteritis due to rotavirus;A08.0 enteritis w / rotavirus;;
A081;;;;Acute gastroenteropathy the Norwalk agent;A08.1 acute gastroenteropathy w / Norwalk agent;;
A082;;;;Enteritis adenovirus;A08.2 enteritis w / adenovirus;;
A083;;;;Other viral enteritis;A08.3 othe viral enteritis;;
A084;;;;intestinal infection due to viruses unspecified;A08.4 intestinal infection due dev virus NS;;
A085;;;;Other specified intestinal infections;A08.5 othe specific intestinal infection due;;
A09;;;;Diarrhea and gastroenteritis of presumed infectious origin;A09 Diarrhea and gastroenteritis infection due orig presum;;
A150;;;;Pulmonary tuberculosis, confirmed by sputum microscopy with or without culture;A15.0 Tuberc Lung w / w acc / ex MICR ExPEC c / s / cult;;
A151;;;;pulmonary tuberculosis, confirmed by culture only;A15.1 Tuberc Lung w / w only conf / culture;;
A152;;;;pulmonary tuberculosis, histological confirmation;A15.2 Tuberc Lung w / conf histolog;;
A153;;;;Pulmonary tuberculosis, confirmed by unspecified;A15.3 Tuberc Lung w / w acc / half NE;;
A154;;;;Tuberculosis of intrathoracic lymph nodes, confirmed bacteriologically and histologically;A15.4 Tuberc Gangl intrator w / conf and histologic bacter;;
A155;;;;Tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically;A15.5 Tuberc Laring Trach bronchitis w / conf Bacteria and historical;;
A156;;;;Tuberculous pleurisy, bacteriologically and histologically confirmed;A15.6 pleurisy tuberc w / conf Bacteriol and histolog;;
A157;;;;Primary airway tuberculosis, bacteriologically and histologically confirmed;Respiratory tract A15.7 Tuberc prim w / conf and histologic Bacteria;;
A158;;;;Other forms of airway tuberculosis, bacteriologically and histologically confirmed;A15.8 tuberc via othe form resp w / conf Bacteria historical;;
A159;;;;Tuberculosis of the respiratory tract unspecified, bacteriologically and histologically confirmed;Respiratory tract A15.9 Tuberc NE w / conf histologic bacter;;
A160;;;;Pulmonary tuberculosis with bacteriological and histologically negative;A16.0 Tuberc pulmonary c / Bacteria tests and historical negat;;
A161;;;;Pulmonary tuberculosis, bacterial or without performing histological examination;A16.1 Tuberc Lung s / bacter examination or histolog;;
A162;;;;pulmonary tuberculosis, without mention of bacteriological or histological confirmation;A16.2 are Tuberc Lung / or MenC conf Bacteria historical;;
A163;;;;Tuberculosis of intrathoracic lymph nodes, without mention of bacteriological or histological confirmation;A16.3 Tuberc Gangl intrat s / Cite conf bact hist;;
A164;;;;Tuberculosis of larynx, trachea and bronchus, without mention of bacteriological or histological confirmation;A16.4 Tuberc Laring Trach bronchitis s / Cite Bacteria hist;;
A165;;;;Tuberculous pleurisy, without mention of bacteriological or histological confirmation;A16.5 tuberc s Pleurisy / or histologic MenC conf bact;;
A167;;;;primary respiratory tuberculosis without mention of bacteriological or histological confirmation;A16.7 Respiratory Tuberc s prim / or MenC conf Bacteria historical;;
A168;;;;Other forms of airway tuberculosis, without mention of bacteriological or histological confirmation;A16.8 via othe tuber resp s / MenC conf Bacteria historical;;
A169;;;;respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation;A16.9 Respiratory Tuberc s NE / or MenC conf Bacteria historical;;
A170;+;;;tuberculous meningitis;A17.0 Meningococcal tuberc;G01 *;
A171;+;;;meningeal tuberculoma;A17.1 Tuberculoma meningeal;G07 *;
A178;+;;;Other tuberculosis of nervous system;A17.8 othe tuberc nervous syst;;
A179;+;;;Tuberculosis of the nervous system, unspecified;A17.9 Tuberc NE nervous syst;G99.8 *;
A180;+;;;bone and joint tuberculosis;A18.0 Tuberc bone and articulations;;
A181;;;;Tuberculosis of genitourinary;A18.1 Tuberc genitourinary;;
A182;;;;peripheral tuberculous lymphadenopathy;Lymphadenopathy A18.2 tuberc peripheral;;
A183;;;;Tuberculosis of intestines, peritoneum and mesenteric glands;A18.3 Tuberc intestine peritoneum Gangl mesenter;;
A184;;;;Tuberculosis of skin and subcutaneous tissue;A18.4 Tuberc skin and subcutaneous cellular tec;;
A185;;;;Tuberculosis of the eye;A18.5 Tuberc eye;;
A186;;;;Tuberculosis of ear;A18.6 Tuberc ear;;
A187;+;;;Tuberculosis of the adrenal;A18.7 Tuberc adrenal;E35.1 *;
A188;;;;Tuberculosis of other specified organs;A18.8 Tuberc of othe specific organs;;
A190;;;;Acute miliary tuberculosis uniquely specified location and;A19.0 Acute miliary Tuberc single specific localiz;;
A191;;;;Acute miliary tuberculosis multiple locations;Tuberc A19.1 Acute miliary mult localiz;;
A192;;;;Acute miliary tuberculosis, unspecified;Tuberc A19.2 Acute miliary NE;;
A198;;;;Other miliary tuberculosis;A19.8 othe tuberc miliary;;
A199;;;;Miliary tuberculosis, unspecified;A19.9 Tuberc miliary NE;;
A200;;;;Bubonic plague;A20.0 Death bubonic;;
A201;;;;plague celulocutânea;A20.1 Plague celulocutanea;;
A202;;;;pneumonic plague;A20.2 Plague pneumonic;;
A203;;;;meningeal plague;A20.3 Plague meningeal;;
A207;;;;septicemic plague;A20.7 Plague Septicemic;;
A208;;;;Other forms of plague;A20.8 othe form of plague;;
A209;;;;Pest unspecified shape;A20.9 Plague form NE;;
A210;;;;tularemia ulceroglandular;A21.0 Tularemia ulceroglandular;;
A211;;;;tularemia oculoglandular;A21.1 Tularemia oculoglandular;;
A212;;;;pulmonary tularemia;A21.2 Pulmonary Tularemia;;
A213;;;;tularemia gastrointestinal;A21.3 gastrointestinal tularemia;;
A217;;;;generalized Tularemia;A21.7 general Tularemia;;
A218;;;;Other forms of tularemia;A21.8 othe form of tularemia;;
A219;;;;Tularemia, unspecified shape;A21.9 Tularemia form NE;;
A220;;;;anthrax skin;A22.0 Anthrax cutaneous;;
A221;;;;pulmonary anthrax;A22.1 Pulmonary anthrax;;
A222;;;;gastrointestinal anthrax;Gastrointestinal anthrax A22.2;;
A227;;;;Anthrax septicemia;A22.7 Anthrax septicemia;;
A228;;;;Other forms of anthrax;A22.8 othe form of anthrax;;
A229;;;;Anthrax, unspecified shape;A22.9 Anthrax form NE;;
A230;;;;Brucellosis Brucella melitensis;A23.0 Brucellosis w / Brucella melitensis;;
A231;;;;Brucellosis by Brucella abortus;A23.1 Brucellosis w / Brucella abortus;;
A232;;;;Brucellosis Brucella suis;A23.2 Brucellosis w / Brucella suis;;
A233;;;;Brucellosis Brucella canis;A23.3 Brucellosis w / Brucella canis;;
A238;;;;other brucellosis;A23.8 othe brucellosis;;
A239;;;;Brucellosis unspecified;A23.9 Brucellosis NE;;
A240;;;;glanders;A24.0 Glanders;;
A241;;;;acute and fulminant Melioidosis;A24.1 acute and fulminant Melioidosis;;
A242;;;;Subacute and chronic melioidosis;A24.2 Melioidosis subacute and chronic;;
A243;;;;other melioidoses;A24.3 othe melioidoses;;
A244;;;;Melioidosis unspecified;A24.4 Melioidosis NE;;
A250;;;;spirillosis;A25.0 spirillosis;;
A251;;;;rat-bite fever;A25.1 rat-bite fever;;
A259;;;;Fever transmitted by rat bite, unspecified;A25.9 fever transm w / rat bite type NE;;
A260;;;;Erysipeloid skin;A26.0 Erysipeloid cutaneous;;
A267;;;;Septicemia Erysipelothrix;A26.7 Septicemia w / Erysipelothrix;;
A268;;;;Other forms of erysipeloid;A26.8 othe form of erisipeloide;;
A269;;;;Erysipeloid unspecified;A26.9 Erysipeloid NE;;
A270;;;;Leptopirose icterohemorrágica;A27.0 Leptopirose icterohemorragica;;
A278;;;;Other forms of leptospirosis;A27.8 othe leptospirosis form;;
A279;;;;Leptospirosis unspecified;A27.9 Leptospirosis NE;;
A280;;;;pasteurellosis;A28.0 Pasteurellosis;;
A281;;;;Cat scratch disease;A28.1 Thyroid Disease p / cat scratch;;
A282;;;;extraintestinal yersiniosis;A28.2 extra-intestinal yersiniosis;;
A288;;;;Other specified zoonotic bacterial diseases, not elsewhere classified;A28.8 othe Thyroid Disease bacter zoonotic specific NCOP;;
A289;;;;Zoonotic bacterial disease, unspecified;A28.9 Thyroid Disease bacter zoonotic NE;;
A300;;;;Hansen's disease [leprosy] undetermined;Leprosy unspecified A30.0;;
A301;;;;Hansen's disease [leprosy] Tuberculoid;A30.1 Leprosy tuberculoid;;
A302;;;;Hansen's disease [leprosy] borderline tuberculoid;A30.2 Leprosy tuberculoid borderline;;
A303;;;;Hansen's disease [leprosy] dimorphic;A30.3 Leprosy dimorphic;;
A304;;;;Hansen's disease [leprosy] borderline lepromatous;A30.4 Leprosy borderline lepromatous;;
A305;;;;Hansen's disease [leprosy] lepromatosa;A30.5 Leprosy lepromatosa;;
A308;;;;Other forms of leprosy [leprosy];A30.8 othe form of leprosy;;
A309;;;;Leprosy [leprosy] unspecified;A30.9 Leprosy NE;;
A310;;;;mycobacterial lung infection;A31.0 Pulmonary mycobacterial infection due;;
A311;;;N;mycobacterial skin infection;A31.1 Mycobacterial infection due cutaneous;;
A318;;;;Other mycobacterial infections;A31.8 othe mycobacterial infection due;;
A319;;;;mycobacterial infection, unspecified;A31.9 Mycobacterial infection due NE;;
A320;;;;listeriosis skin;A32.0 Listeriosis cutaneous;;
A321;+;;;Meningitis and meningoencephalitis caused by listeria;A32.1 meningitis and meningoencephalitis w / Listeria;;
A327;;;;septicemia listeriótica;A32.7 Septicemia listeriotica;;
A328;;;;Other forms of listeriosis;A32.8 othe form of listeriosis;;
A329;;;;Listeriosis unspecified;A32.9 Listeriosis NE;;
A33;;;;Tetanus of the newborn [neonatal];A33 Tetanus of the newborn;;
A34;;F;;tetanus obstetrical;A34 Tetanus obstetrical;;
A35;;;;Other types of tetanus;A35 othe types of tetanus;;
A360;;;;pharyngeal diphtheria;A36.0 Diphtheria pharyngeal;;
A361;;;;diphtheria nasopharyngeal;A36.1 Diphtheria nasopharyngeal;;
A362;;;;laryngeal diphtheria;A36.2 Diphtheria laryngeal;;
A363;;;;diphtheria skin;A36.3 Diphtheria cutaneous;;
A368;;;;Other forms of diphtheria;A36.8 othe diphtheria form;;
A369;;;;Diphtheria unspecified;A36.9 Diphtheria NE;;
A370;;;;Pertussis Bordetella pertussis;Pertussis A37.0 w / Bordetella pertussis;;
A371;;;;Pertussis Bordetella parapertussis;Pertussis A37.1 w / Bordetella parapertussis;;
A378;;;;Pertussis by other species of Bordetella;Pertussis A37.8 w / othe species of Bordetella;;
A379;;;;Pertussis unspecified;Whooping cough A37.9 NE;;
A38;;;;Scarlet fever;A38 Scarlet fever;;
A390;+;;;meningococcal meningitis;A39.0 meningococcal meningitis;G01 *;
A391;+;;;Waterhouse-Friderichsen syndrome;Sindr A39.1 Waterhouse-Friderichsen;E35.1 *;
A392;;;;acute meningococcemia;A39.2 acute Meningococcemia;;
A393;;;;chronic meningococcemia;Meningococcemia chronic A39.3;;
A394;;;;Meningococcemia unspecified;A39.4 Meningococcemia NE;;
A395;+;;;Carditis meningococcal;A39.5 ??carditis w / meningococcus;;
A398;;;;Other meningococcal infections;A39.8 infection due othe w / meningococcus;;
A399;;;;meningococcal infection, unspecified;A39.9 meningococcal infection due NE;;
A400;;;;Septicemia Streptococcus group A;A40.0 Septicemia w / Streptococcus group A;;
A401;;;;Sepsis by group B Streptococcus;A40.1 Septicemia w / group B Streptococcus;;
A402;;;;Sepsis Group D Streptococcus;A40.2 Septicemia w / Streptococcus Group D;;
A403;;;;Septicemia Streptococcus pneumonia;A40.3 Septicemia p / Streptococcus pneumonia;;
A408;;;;Other streptococcal septicemia;A40.8 streptococcal septicemia othe;;
A409;;;;Unspecified streptococcal septicemia;A40.9 Septicemia streptococcal NE;;
A410;;;;Staphylococcus aureus septicemia;A41.0 Septicemia w / Staphylococcus aureus;;
A411;;;;Septicemia due to other specified staphylococcus;A41.1 Septicemia w / othe specific staphylococci;;
A412;;;;Septicemia staph unspecified;A41.2 Septicemia w / staphylococci NE;;
A413;;;;Septicemia due to Haemophilus influenzae;A41.3 Septicemia w / Haemophilus influenzae;;
A414;;;;Septicemia anaerobic;A41.4 Septicemia w / anaerobic;;
A415;;;;Septicemia by other gram-negative organisms;A41.5 Septicemia p / othe microorg gram-negative;;
A418;;;;Other specified septicemia;A41.8 othe specific septicemia;;
A419;;;;Septicemia unspecified;A41.9 Septicemia NE;;
A420;;;;pulmonary actinomycosis;A42.0 Pulmonary actinomycosis;;
A421;;;;actinomycosis abdominal;A42.1 Abdominal actinomycosis;;
A422;;;;actinomycosis cervicofacial;A42.2 Actinomycosis cervicofacial;;
A427;;;;septicemia actinomicótica;A42.7 Septicemia actinomicotica;;
A428;;;N;Other forms of actinomycosis;A42.8 othe form of actinomycosis;;
A429;;;;Actinomycosis unspecified;A42.9 Actinomycosis NE;;
A430;;;;pulmonary nocardiosis;A43.0 Pulmonary nocardiosis;;
A431;;;;nocardiosis skin;Nocardiosis A43.1 cutaneous;;
A438;;;;Other forms of nocardiosis;A43.8 othe form of nocardiosis;;
A439;;;;Nocardiosis unspecified;Nocardiosis A43.9 NE;;
A440;;;;systemic bartonellosis;A44.0 Bartonellosis systemic;;
A441;;;;Bartonellosis cutaneous and mucocutaneous;Bartonellosis A44.1 cutaneous and mucocutaneous;;
A448;;;;Other forms of bartonellosis;A44.8 othe form of bartonellosis;;
A449;;;;Bartonellosis unspecified;A44.9 Bartonellosis NE;;
A46;;;;Erysipelas;A46 Erysipelas;;
A480;;;;gas gangrene;A48.0 Gas gangrene;;
A481;;;;Legionnaires' disease;A48.1 Thyroid Disease of legionaries;;
A482;;;;Legionnaires disease non-pneumonic [Pontiac fever];Thyroid Disease A48.2 of non-pneumonic Legionarios;;
A483;;;;Toxic shock syndrome;A48.3 Sindr toxic shock;;
A484;;;;purpuric fever Brazil;A48.4 Purpuric Fever Brazil;;
A488;;;;Other specified bacterial diseases;A48.8 othe Thyroid Disease specific bacter;;
A490;;;;Staphylococcal infection, unspecified location;A49.0 Staphylococcal infection due localiz NE;;
A491;;;;streptococcal infection, unspecified location;A49.1 streptococcal infection due localiz NE;;
A492;;;;Haemophilus influenzae infection of unspecified site;A49.2 infection due w / Haemophilus influenzae localiz NE;;
A493;;;;Mycoplasma location not specified;A49.3 infection due w / NE Mycoplasma localiz;;
A498;;;;Other bacterial infections of unspecified site;A49.8 othe localiz bacterial infection due NE;;
A499;;;;unspecified bacterial infection;A49.9 bacter infection due NE;;
A500;;;;early symptomatic congenital syphilis;A50.0 Syphilis early symptomatic congen;;
A501;;;;Early congenital syphilis, latent;A50.1 Syphilis early congen latent form;;
