CAT;DESCRICAO;REFER
M8000 / 0;benign neoplasm;
M8000 / 1;Neoplasm of uncertain behavior is benign or malignant;
M8000 / 3;malignant neoplasm;
M8000 / 6;metastatic cancer;
M8001 / 0;Tumor cells, benign;
M8001 / 1;Tumor cells, uncertain whether benign or malignant;
M8001 / 3;malignant tumor cells;
M8002 / 3;malignant tumor, small cell type;
M8003 / 3;Malignant neoplasm, giant cell type;
M8004 / 3;Malignant neoplasm, spindle cell type;
M8010 / 0;benign epithelial tumor;
M8010 / 2;NOS carcinoma in situ;
M8010 / 3;carcinoma NOS;
M8010 / 6;metastatic carcinoma NOS;
M8011 / 0;epithelioma benign;
M8011 / 3;epithelioma malignant;
M8012 / 3;Large cell carcinomas NOS;
M8020 / 3;undifferentiated carcinoma NOS;
M8021 / 3;Anaplastic carcinoma NOS;
M8022 / 3;pleomorphic carcinoma;
M8030 / 3;Carcinoma giant cells and spindle cells;
M8031 / 3;Giant cell carcinoma;
M8032 / 3;Spindle cell carcinoma;
M8033 / 3;pseudossarcomatoso carcinoma;
M8034 / 3;Polygonal cell carcinoma;
M8040 / 1;Tumorlet;
M8041 / 3;small cell carcinoma NOS;
M8042 / 3;"Carcinoma ""oat cell""";C34.-
M8043 / 3;Small cell carcinoma, spindle;C34.-
M8044 / 3;Small cell carcinoma, intermediate;C34.-
M8045 / 3;Small cell carcinoma and large cell;C34.-
M8050 / 0;Papilloma NOS (except bladder papilloma M8120 / 1);
M8050 / 2;papillary carcinoma in situ;
M8050 / 3;papillary carcinoma NOS;
M8051 / 0;warty papilloma;
M8051 / 3;verrucous carcinoma NOS;
M8052 / 0;Squamous cell papilloma;
M8052 / 3;Squamous cell carcinoma papillary;
M8053 / 0;inverted papilloma;
M8060 / 0;papillomatosis SOE;
M8070 / 2;Carcinoma in situ squamous cell carcinoma, NOS;
M8070 / 3;Squamous cell carcinoma NOS;
M8070 / 6;Squamous cell carcinoma, metastatic NOS;
M8071 / 3;Squamous cells, keratinized, NOS;
M8072 / 3;Squamous cell carcinoma, large cell, non-keratinized;
M8073 / 3;Squamous cell carcinoma, small cell, non-keratinized;
M8074 / 3;Squamous cell carcinoma, spindle cell;
M8075 / 3;adenoid squamous cell carcinoma;
M8076 / 2;Carcinoma in situ squamous cell with questionable invasion of stroma;C53.-
M8076 / 3;Squamous cell carcinoma, microinvasive;C53.-
M8077 / 2;Intraepithelial neoplasia, grade III cervical, vulvar and vaginal;
M8080 / 2;Erythroplakia of Queyrat;
M8081 / 2;Bowen's disease;C44.-
M8082 / 3;lymphoepithelial carcinoma;
M8090 / 1;Basal cell tumor;D48.5
M8090 / 3;basal cell carcinoma NOS;C44.-
M8091 / 3;Basal cell carcinoma, multicenter;C44.-
M8092 / 3;Basal cell carcinoma, type morphea;C44.-
M8093 / 3;Basal cell carcinoma, fibroepithelial;C44.-
M8094 / 3;basosquamous carcinoma;C44.-
M8095 / 3;metatypical carcinoma;C44.-
M8096 / 0;intraepidermal epithelioma of Jadassohn;D23.-
M8100 / 0;trichoepitheliomas;D23.-
M8101 / 0;trichofoliculoma;D23.-
M8102 / 0;tricholemmoma;D23.-
M8110 / 0;pilomatrixoma SOE;D23.-
M8110 / 3;Carcinoma pilomátrix;C44.-
M8120 / 0;transitional cell papilloma, NOS;
M8120 / 1;urothelial papilloma;
M8120 / 2;Carcinoma in situ transitional cell;
M8120 / 3;transitional cell carcinoma NOS;
M8121 / 0;papilloma schneiderian;
M8121 / 1;Transitional cell papilloma, inverted type;
M8121 / 3;schneiderian carcinoma;
M8122 / 3;Transitional cell carcinoma, cell type fusiformas;
M8123 / 3;basaloid carcinoma;C21.1
M8124 / 3;cloacogênico carcinoma;C21.2
M8130 / 3;papillary transitional cell carcinoma;
M8140 / 0;adenoma SOE;
M8140 / 1;Bronchial adenoma SOE;D38.1
M8140 / 2;Adenocarcinoma in situ NOS;
M8140 / 3;adenocarcinoma NOS;
M8140 / 6;metastatic adenocarcinoma NOS;
M8141 / 3;adenocarcinoma Schirrous;
M8142 / 3;plastic Linite;C16.-
M8143 / 3;Superficial spreading adenocarcinoma;
M8144 / 3;Adenocarcionama, intestinal type;C16.-
M8145 / 3;Carcinoma, diffuse type;C16.-
M8146 / 0;monomorphic adenoma;
M8147 / 0;Basal cell adenoma;D11.-
M8147 / 3;Adenocarcinoma, basal cell;C07 .-, C08.-
M8150 / 0;islet cell adenoma;D13.7
M8150 / 3;Islet cell carcinoma;C25.4
M8151 / 0;insulinoma SOE;D13.7
M8151 / 3;insulinoma evil;C25.4
M8152 / 0;glucagonoma SOE;D13.7
M8152 / 3;glucagonoma evil;C25.4
M8153 / 1;gastrinoma SOE;
M8153 / 3;gastrinoma evil;
M8154 / 3;mixed adenocarcinoma, the islets and exocrine;C25.-
M8155 / 3;vipoma;
M8160 / 0;Bile duct adenoma;D13.4, D13.5
M8160 / 3;cholangiocarcinoma;C22.1
M8161 / 0;Bile duct cystadenoma;
M8161 / 3;Bile duct cystadenocarcinoma;
M8162 / 3;Tumor Klatskin;C22.1
M8170 / 0;Hepatic adenoma cells;D13.4
M8170 / 3;Hepatocellular carcinoma NOS;C22.0
M8171 / 3;Hepatocellular carcinoma fibrolamellar;C22.0
M8180 / 3;combined hepatocellular carcinoma and cholangiocarcinoma;C22.0
M8190 / 0;trabecular adenoma;
M8190 / 3;adenocarcinoma trabecular;
M8191 / 0;adenoma embryonic;
M8200 / 0;Cylindroma dermal eccrine;D23.-
M8200 / 3;Adenoid cystic carcinoma;
M8201 / 3;cribriform carcinoma;
M8202 / 0;adenoma microcystic;D13.7
M8210 / 0;Adenomatous polyp SOE;
M8210 / 2;Adenocarcinoma in adenomatous polyp situ;
M8210 / 3;Adenocarcinoma in adenomatous polyp;
M8211 / 0;Tubular Adenoma NOS;
M8211 / 3;tubular adenocarcinoma;
M8220 / 0;adenomatous polyposis colon;D12.-
M8220 / 3;Adenocarcinoma in adenomatous polyposis colon;C18.-
M8221 / 0;Adenomatous polyps multiple;
M8221 / 3;Adenocarcinoma in multiple adenomatous polyps;
M8230 / 3;Solid Carcinoma, NOS;
M8231 / 3;simple carcinoma;
M8240 / 1;SOE carcinoid tumor of the appendix;D37.7
M8240 / 3;carcinoid tumor NOS (except Appendix M8240 / 1);
M8241 / 1;Tumor argentafínico carcinoid SOE;
M8241 / 3;Tumor malignant carcinoid argentafínico;
M8243 / 3;Goblet cell carcinoma;C18.1
M8244 / 3;Carcinoid compound;
M8245 / 3;tumor adenocarcinóide;
M8246 / 3;neuroendocrine carcinoma;
M8247 / 3;Merkel cell carcinoma;C44.-
M8248 / 1;Apudoma;
M8250 / 1;pulmonary adenomatosis;D38.1
M8250 / 3;bronchioloalveolar adenocarcinoma;C34.-
